v подаём (вольт),3.00~2.65*10^-5 bar 300v,350v 2.62~2.46*10^-5 bar,400v 2.46~2.36*10^-5 bar,300v 3.32*10^-4 bar,350v 3.31*10^-4 bar,400v 3.30*10^-4 bar,300v 1.1 mb,350v 1.1 mb,400v 1.1 mb
75,0.715,,,0.324,0.447,0.63,0.025,0.068,0.154
72,0.701,0.837,0.948,,,,,,
69,0.697,0.819,0.929,0.314,0.435,0.611,0.025,0.066,0.15
66,0.683,0.804,0.912,,,,0.024,,
63,0.669,0.788,0.882,0.303,0.421,0.594,,0.064,0.146
60,0.655,0.772,0.865,,,,0.023,,
57,0.642,0.756,0.847,0.292,0.407,0.576,,0.063,0.142
54,0.627,0.739,0.83,,,,0.022,0.062,
51,0.613,0.723,0.81,0.282,0.393,0.558,,0.061,0.138
48,0.597,0.707,0.792,,,,0.021,0.06,
45,0.584,0.69,0.775,0.271,0.379,,,,0.134
42,0.568,0.672,0.756,,,0.53,0.02,0.059,
39,0.553,0.654,0.737,0.261,0.365,,,0.058,0.13
36,0.537,0.636,0.717,,,0.51,,,
33,0.523,0.619,0.696,0.249,0.35,,0.019,0.057,0.127
30,0.504,0.6,0.676,,,0.492,,0.056,
27,0.49,0.579,0.655,0.237,0.335,,,0.055,0.123
24,0.471,0.567,0.636,,,0.472,0.018,0.054,0.121
21,0.453,0.537,,0.225,0.319,,,0.053,0.117
18,0.429,0.51,0.58,0.218,0.311,0.451,0.017,0.052,0.112
15,0.404,0.483,0.54,0.206,0.297,0.436,0.016,0.048,0.102
12,0.372,0.443,,0.188,0.274,0.404,0.015,0.042,0.087
9,0.329,0.381,0.423,0.155,0.229,0.347,0.012,0.032,
6,0.252,0.288,0.313,0.107,0.158,0.246,0.008,0.021,0.04
3,0.137,0.155,0.172,0.044,0.062,,0.003,0.006,
0,-0.006,0.006,0.004,-0.025,-0.041,-0.049,0,-0.009,-0.019
-3,-0.162,-0.171,,,-0.152,-0.21,-0.008,,
-6,-0.284,-0.308,-0.338,-0.154,-0.243,,-0.011,-0.038,-0.079
-9,-0.365,-0.412,-0.457,-0.194,-0.31,-0.429,-0.015,-0.05,
-12,-0.42,,,-0.223,-0.35,-0.484,-0.018,-0.058,-0.118
-15,-0.454,-0.531,-0.589,-0.24,-0.374,-0.511,-0.019,,-0.13
-18,-0.484,-0.566,,-0.251,-0.386,-0.525,-0.02,-0.066,-0.136
-21,-0.507,-0.595,-0.669,-0.259,-0.397,-0.539,,-0.068,-0.14
-24,-0.528,-0.623,-0.695,-0.265,-0.406,,-0.021,-0.069,-0.143
-27,-0.551,-0.646,-0.722,-0.272,-0.415,-0.561,,-0.07,-0.146
-30,-0.57,-0.667,-0.748,-0.278,,,,-0.072,-0.148
-33,-0.588,-0.688,-0.768,,-0.433,,,,
-36,-0.606,-0.709,-0.79,-0.292,,-0.593,-0.022,-0.074,-0.152
-39,-0.625,-0.73,-0.809,,-0.45,,,,
-42,-0.643,-0.742,-0.828,-0.304,,-0.616,,-0.076,-0.156
-45,-0.66,-0.767,-0.85,,-0.466,,,,
-48,-0.679,-0.787,-0.87,-0.316,,-0.639,,-0.078,-0.162
-51,-0.695,-0.807,-0.888,,-0.485,,,,
-54,-0.713,-0.825,-0.908,-0.328,,-0.658,-0.023,-0.08,-0.166
-57,-0.73,-0.843,-0.926,,-0.501,,,,
-60,-0.745,-0.858,-0.946,-0.339,,-0.68,,-0.082,-0.17
-63,-0.762,-0.878,-0.967,,-0.518,,,,
-66,-0.778,-0.895,,-0.35,,-0.7,-0.024,-0.084,-0.176
-69,-0.794,-0.914,,,-0.534,,,,
-72,-0.81,-0.93,-1.026,-0.362,,,,-0.086,-0.18
-75,-0.827,,,-0.368,-0.551,-0.732,,-0.087,-0.184
